Time [s], Analyzer Name, Decoded Protocol Result
2.747266250000000,SPI,MOSI: 5
2.747474250000000,SPI,MOSI: 17
2.747682125000000,SPI,MOSI: 20
2.747890125000000,SPI,MOSI: 1
2.748098125000000,SPI,MOSI: 43
2.748306000000000,SPI,MOSI: 0
2.768269375000000,SPI,MOSI: 19
2.768477375000000,SPI,MOSI: 17
2.768685250000000,SPI,MOSI: 17
2.768893250000000,SPI,MOSI: 32
2.769101250000000,SPI,MOSI: 32
2.769309250000000,SPI,MOSI: 32
2.769517250000000,SPI,MOSI: 80
2.769725250000000,SPI,MOSI: 79
2.769933000000000,SPI,MOSI: 87
2.770140875000000,SPI,MOSI: 69
2.770349125000000,SPI,MOSI: 82
2.770557000000000,SPI,MOSI: 32
2.770765000000000,SPI,MOSI: 79
2.770972875000000,SPI,MOSI: 78
2.771180750000000,SPI,MOSI: 32
2.771388750000000,SPI,MOSI: 32
2.771596750000000,SPI,MOSI: 32
2.771804750000000,SPI,MOSI: 0
2.772012750000000,SPI,MOSI: 63
2.772220625000000,SPI,MOSI: 0
2.792273750000000,SPI,MOSI: 9
2.792481750000000,SPI,MOSI: 17
2.792689625000000,SPI,MOSI: 18
2.792897625000000,SPI,MOSI: 32
2.793105625000000,SPI,MOSI: 32
2.793313625000000,SPI,MOSI: 32
2.793521625000000,SPI,MOSI: 32
2.793729625000000,SPI,MOSI: 0
2.793937625000000,SPI,MOSI: 172
2.794145500000000,SPI,MOSI: 0
2.814276875000000,SPI,MOSI: 15
2.814484750000000,SPI,MOSI: 17
2.814692750000000,SPI,MOSI: 19
2.814900625000000,SPI,MOSI: 0
2.815108625000000,SPI,MOSI: 0
2.815316750000000,SPI,MOSI: 0
2.815524750000000,SPI,MOSI: 0
2.815732875000000,SPI,MOSI: 0
2.815940875000000,SPI,MOSI: 0
2.816148875000000,SPI,MOSI: 0
2.816357000000000,SPI,MOSI: 0
2.816565000000000,SPI,MOSI: 0
2.816773000000000,SPI,MOSI: 0
2.816981000000000,SPI,MOSI: 0
2.817189125000000,SPI,MOSI: 51
2.817397000000000,SPI,MOSI: 0
